date,time,symbol,dip_score,is_dip,fund_pass,price,ma50,ma200,rsi,week52_pct,fcf_usd,fcf_yield_pct,profit_margin_pct,debt_to_equity,roe_pct,pe,price_source,fail_reasons
2026-03-06,15:34:58,NVDA,1,False,False,178.91,186.22,185.84,43.4,75,28012399000,0.64,272.58,1.46,134.7,147.1,IBKR,PE=147.1 > MAX_PE_RATIO=60.0; FCF yield=0.64% < MIN=1.50%
2026-03-06,15:34:58,TSLA,1,False,False,398.87,410.29,434.64,42.0,66,4357000000,0.34,15.50,0.66,20.6,85.5,IBKR,PE=85.5 > MAX_PE_RATIO=60.0; FCF yield=0.34% < MIN=1.50%; Capex/FCF=204.25% > MAX=75.00%
2026-03-06,15:34:58,BAC,3,True,False,48.46,51.86,52.80,33.5,64,44982000000,12.20,25.60,10.86,9.6,14.0,IBKR,ROE=9.6% < MIN=10.0%
2026-03-06,15:34:58,MSFT,1,False,True,410.65,400.89,467.54,48.6,31,59475000000,1.94,34.15,1.18,35.1,42.4,IBKR,
2026-03-06,15:34:58,XOM,0,False,True,151.72,150.27,126.12,60.3,95,33450000000,5.40,14.09,0.69,13.7,17.2,IBKR,
2026-03-06,15:34:58,TSM,1,False,True,340.82,365.07,316.35,41.8,81,,,,,,,IBKR,
2026-03-06,15:34:58,AVGO,1,False,False,331.29,329.64,347.76,51.5,70,17633000000,1.14,32.09,3.68,43.1,135.1,IBKR,PE=135.1 > MAX_PE_RATIO=60.0; D/E=3.68 > MAX=3.0 (non-financial); FCF yield=1.14% < MIN=1.50%
2026-03-06,15:34:58,NOW,2,False,False,124.31,107.67,148.19,62.1,22,2704000000,2.11,19.30,2.14,34.4,74.1,IBKR,PE=74.1 > MAX_PE_RATIO=60.0
2026-03-06,15:34:58,WFC,3,True,True,80.36,86.53,87.95,34.8,57,40358000000,13.10,21.66,9.76,10.7,16.1,IBKR,
2026-03-06,15:34:58,CSCO,0,False,True,78.78,79.93,76.12,49.0,77,19037000000,6.03,22.13,1.99,31.7,25.0,IBKR,
2026-03-06,15:34:58,SAP,2,False,True,201.86,201.66,236.35,45.7,5,,,,,,,IBKR,
2026-03-06,15:34:58,PG,0,False,True,154.01,160.35,148.81,43.1,49,13786000000,,17.87,1.53,31.3,,IBKR,
2026-03-06,15:34:58,HIMS,4,True,False,15.61,16.45,33.49,30.8,2,70100000,,-2.70,0.74,-7.6,,IBKR,profitMargin=-2.7% < MIN=5.0%; ROE=-7.6% < MIN=10.0%
2026-03-06,15:34:58,RTX,0,False,False,208.83,201.86,184.55,59.2,97,5468000000,1911.16,4.64,1.68,5.3,0.1,IBKR,profitMargin=4.6% < MIN=5.0%; ROE=5.3% < MIN=10.0%
2026-03-06,15:34:58,MRK,0,False,False,115.76,120.54,103.26,45.0,84,9143000000,,0.61,,0.8,,IBKR,profitMargin=0.6% < MIN=5.0%; FCF grew in fewer than 2 of last 3 year(s); ROE=0.8% < MIN=10.0%
2026-03-06,15:34:58,UNH,2,False,True,286.31,285.54,321.93,44.9,15,25682000000,9.80,6.02,6.92,79.1,11.7,IBKR,
2026-03-06,15:34:58,IBM,1,False,False,257.88,256.62,290.16,47.2,43,12686000000,5.25,12.13,4.02,27.5,32.2,IBKR,D/E=4.02 > MAX=3.0 (non-financial); FCF grew in fewer than 2 of last 3 year(s)
2026-03-06,15:34:58,AXP,3,True,True,301.01,332.19,356.01,29.9,46,16996000000,8.04,22.50,9.76,33.9,25.2,IBKR,
2026-03-06,15:34:58,V,2,False,True,316.48,319.64,333.71,43.5,16,20659000000,,52.90,2.21,69.1,,IBKR,
2026-03-06,15:34:58,JNJ,0,False,False,239.58,242.92,211.34,52.9,92,18248000000,,41.28,1.41,45.8,,IBKR,FCF grew in fewer than 2 of last 3 year(s)
2026-03-06,15:34:58,GE,0,False,False,321.72,330.49,309.64,46.3,87,3610000000,1.05,134.61,5.35,49.0,36.4,IBKR,D/E=5.35 > MAX=3.0 (non-financial); FCF yield=1.05% < MIN=1.50%; FCF grew in fewer than 2 of last 3 year(s)
2026-03-06,15:34:58,PEP,0,False,False,158.54,164.69,149.39,45.5,77,7924000000,,9.92,4.51,50.3,,IBKR,D/E=4.51 > MAX=3.0 (non-financial)
2026-03-06,15:34:58,HSBC,0,False,True,84.19,88.50,77.97,43.1,79,,,,,,,IBKR,
2026-03-06,15:34:58,TMUS,0,False,False,221.23,213.73,205.33,65.0,47,8758000000,3.46,10.59,0.09,11.9,30.4,IBKR,Capex/FCF=111.91% > MAX=75.00%
2026-03-06,15:34:58,MA,1,False,False,520.33,522.65,547.58,45.9,36,11609000000,,7.63,6.41,29.4,,IBKR,D/E=6.41 > MAX=3.0 (non-financial)
2026-03-06,15:34:58,HD,2,False,False,358.85,378.77,367.83,36.7,32,11496000000,3.15,10.87,48.33,1095.1,21.3,IBKR,D/E=48.33 > MAX=3.0 (non-financial); FCF grew in fewer than 2 of last 3 year(s)
2026-03-06,15:34:58,NVS,0,False,True,160.12,163.21,140.89,51.1,87,,,,,,,IBKR,
2026-03-06,15:34:58,ASML,1,False,True,1302.18,1429.88,1192.03,38.6,76,,,,,,,IBKR,
2026-03-06,15:34:58,TMO,2,False,True,503.51,517.55,568.11,33.4,46,6927000000,,13.99,,12.1,,IBKR,
2026-03-06,15:34:58,COST,0,False,False,998.01,996.06,931.63,54.6,73,6745000000,1.53,2.60,1.96,26.6,70.3,IBKR,PE=70.3 > MAX_PE_RATIO=60.0; profitMargin=2.6% < MIN=5.0%; FCF grew in fewer than 2 of last 3 year(s)
2026-03-06,15:34:58,ISRG,1,False,False,490.69,495.97,533.07,41.1,37,1660100000,0.95,25.24,0.13,10.9,97.3,IBKR,PE=97.3 > MAX_PE_RATIO=60.0; FCF yield=0.95% < MIN=1.50%
2026-03-06,15:50:49,NVDA,1,False,False,176.99,186.12,185.82,41.7,73,28012399000,0.65,272.58,1.46,134.7,145.6,IBKR,PE=145.6 > MAX_PE_RATIO=60.0; FCF yield=0.65% < MIN=1.50%
2026-03-06,15:50:49,TSLA,1,False,False,396.39,410.16,434.61,40.9,65,4357000000,0.34,15.50,0.66,20.6,85.0,IBKR,PE=85.0 > MAX_PE_RATIO=60.0; FCF yield=0.34% < MIN=1.50%; Capex/FCF=204.25% > MAX=75.00%
2026-03-06,15:50:49,BAC,3,True,False,48.47,51.86,52.80,33.5,64,44982000000,12.19,25.60,10.86,9.6,14.0,IBKR,ROE=9.6% < MIN=10.0%
2026-03-06,15:50:49,MSFT,1,False,True,408.98,400.81,467.53,47.6,30,59475000000,1.95,34.15,1.18,35.1,42.2,IBKR,
2026-03-06,15:50:49,XOM,0,False,True,151.30,150.25,126.12,59.7,94,33450000000,5.42,14.09,0.69,13.7,17.2,IBKR,
2026-03-06,15:50:49,TSM,1,False,True,338.13,364.93,316.32,40.6,80,,,,,,,IBKR,
2026-03-06,15:50:49,AVGO,1,False,False,329.67,329.56,347.74,50.5,69,17633000000,1.14,32.09,3.68,43.1,134.4,IBKR,PE=134.4 > MAX_PE_RATIO=60.0; D/E=3.68 > MAX=3.0 (non-financial); FCF yield=1.14% < MIN=1.50%
2026-03-06,15:50:49,NOW,2,False,False,124.18,107.66,148.19,62.0,22,2704000000,2.11,19.30,2.14,34.4,74.1,IBKR,PE=74.1 > MAX_PE_RATIO=60.0
2026-03-06,15:50:49,WFC,3,True,True,80.30,86.53,87.95,34.7,57,40358000000,13.11,21.66,9.76,10.7,16.1,IBKR,
